"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bits","Param: padding","Param: scenario","Param: seed","Param: size"
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,87674.777000,86.792780,"us/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.736028,NaN,"clks/insn",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,1.358643,NaN,"insns/clk",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,707697.616667,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,85933713.433333,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,21264495.600000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,43025.450000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,11423.050000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,47601.500000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,6681.883333,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,37466.133333,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,6547188.183333,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,79451799.483333,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,227450307.300000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-load-misses","avgt",1,1,2751.200000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-loads","avgt",1,1,84372145.516667,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-store-misses","avgt",1,1,797.450000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-stores","avgt",1,1,21241131.550000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-load-misses","avgt",1,1,420.716667,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-loads","avgt",1,1,3994.866667,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:instructions","avgt",1,1,309023826.650000,NaN,"#/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate","avgt",1,5,0.000272,0.000036,"MB/sec",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate.norm","avgt",1,5,37.200000,4.592161,"B/op",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.count","avgt",1,5,0.000000,NaN,"counts",17,7,UNIFORM,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,5661.327983,283.837220,"us/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.239097,NaN,"clks/insn",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,4.182395,NaN,"insns/clk",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,649212.392060,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,10929237.791563,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,3286735.661290,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,14277.755583,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,27142.161290,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,56523.563275,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,83864.068238,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,122244.719603,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,4442.643921,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,19444772.689826,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,16152829.590571,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-load-misses","avgt",1,1,3140.461538,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-loads","avgt",1,1,10602543.749380,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-store-misses","avgt",1,1,2413.258065,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-stores","avgt",1,1,3312549.655087,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-load-misses","avgt",1,1,123.142680,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-loads","avgt",1,1,323.467742,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:instructions","avgt",1,1,67557509.894541,NaN,"#/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate","avgt",1,5,408.359158,17.363314,"MB/sec",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate.norm","avgt",1,5,4005684.095885,361.454359,"B/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Eden_Space","avgt",1,5,421.451321,93.215088,"MB/sec",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Eden_Space.norm","avgt",1,5,4134220.475890,906502.506994,"B/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Survivor_Space","avgt",1,5,0.002886,0.007151,"MB/sec",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Survivor_Space.norm","avgt",1,5,28.444921,71.782280,"B/op",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.count","avgt",1,5,48.000000,NaN,"counts",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.time","avgt",1,5,10.000000,NaN,"ms",17,7,CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,1071.894758,380.795172,"us/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.299648,NaN,"clks/insn",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,3.337248,NaN,"insns/clk",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,251541.118875,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,3262793.332560,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,1129748.305306,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,1232.014787,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,16353.702812,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,43068.195999,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,4921.496666,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,46135.533488,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,309.978255,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,2306329.285010,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,3626088.618150,NaN,"#/op",17,7,CONTIGUOUS_REVERSE,0,1000000
